tickers,average_return,max_return,min_return,return_variance
AAPL,0.1093,33.2280,-51.8692,8.1683
ABBV,0.0730,13.7673,-16.2524,3.1832
ABT,0.0658,12.4664,-16.1375,2.6230
ACN,0.0773,16.3668,-13.4543,3.6464
ADBE,0.1369,32.2032,-30.1980,9.6844
AIG,0.0443,66.0000,-60.7908,7.5382
AMGN,0.0990,25.3624,-20.0000,6.0260
AMT,0.0906,34.6667,-35.4244,9.0714
AMZN,0.1889,34.4714,-24.7661,13.5124
AVGO,0.1372,15.8337,-19.9129,5.0866
AXP,0.0549,21.8823,-26.2295,4.9041
BA,0.0603,24.3186,-23.8484,4.5420
BAC,0.0473,35.2691,-28.9694,5.8429
BIIB,0.1277,43.9739,-42.5535,13.5355
BK,0.0502,24.8065,-27.1578,4.1956
BKNG,0.1104,37.2159,-42.3303,16.4598
BLK,0.0997,19.5609,-15.5242,4.8492
BMY,0.0429,15.8784,-21.7850,2.8146
C,0.0466,57.8249,-39.0244,6.5807
CAT,0.0509,14.7229,-21.6216,3.4669
CHTR,0.1207,14.1906,-14.3288,3.0717
CL,0.0442,19.9711,-19.3182,2.6786
CMCSA,0.0872,24.5228,-19.1488,5.1322
COF,0.0956,26.4301,-39.7628,8.8420
COP,0.0457,25.2139,-24.8401,4.2972
COST,0.0609,19.3798,-23.4973,4.0800
CRM,0.1287,26.0449,-27.1482,7.3191
CSCO,0.1161,24.3884,-19.8276,6.6364
CVS,0.0517,18.2125,-22.9918,3.8375
CVX,0.0365,22.7407,-22.1248,2.6174
DD,0.0392,18.4308,-20.7859,3.8885
DHR,0.0990,20.2703,-25.2525,4.8630
DIS,0.0702,19.0955,-29.0944,3.9577
DOW,0.1105,20.9091,-21.6577,9.4994
DUK,0.0363,16.1579,-16.4948,1.9039
EMR,0.0407,16.3340,-18.9572,2.7919
EXC,0.0233,17.9941,-16.0891,2.3571
F,0.0386,29.5181,-25.0000,4.9882
FB,0.1207,29.6115,-18.9609,5.5051
FDX,0.0761,15.0000,-16.3964,4.5638
GD,0.0559,20.0000,-17.5796,3.7701
GE,0.0340,19.7031,-17.4877,2.9564
GILD,0.1113,24.7482,-23.0216,9.6137
GM,0.0409,19.9432,-17.3228,4.4401
GOOG,0.1094,19.9915,-11.6091,3.7025
GOOGL,0.1089,19.9915,-11.6342,3.6956
GS,0.0578,26.4678,-18.9596,5.6225
HD,0.1205,32.9288,-28.7356,5.5040
HON,0.0496,31.2217,-29.3930,3.6875
IBM,0.0325,13.1636,-23.5185,2.5550
