Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,186.490005,189.529999,185.289993,187.750000,185.127472,2013800
2020-05-12,187.839996,189.990005,185.690002,185.720001,183.125854,1912300
2020-05-13,185.039993,185.139999,178.750000,181.000000,178.471771,2349300
2020-05-14,178.699997,180.009995,174.940002,179.990005,177.475876,2773300
2020-05-15,178.369995,183.960007,177.830002,183.880005,181.311554,3630000
2020-05-18,189.000000,194.139999,188.110001,192.750000,190.057648,2254700
2020-05-19,192.500000,194.509995,189.919998,190.089996,187.434799,1784100
2020-05-20,192.500000,195.669998,192.229996,195.179993,192.453690,2294800
2020-05-21,194.699997,195.520004,192.699997,193.500000,190.797150,1373000
2020-05-22,194.080002,194.889999,191.130005,193.710007,191.004257,1317500
2020-05-26,199.419998,199.990005,196.029999,196.399994,193.656662,2408700
2020-05-27,198.380005,199.949997,196.210007,199.929993,197.137344,2000500
2020-05-28,200.009995,204.179993,200.009995,201.669998,198.853043,2280600
2020-05-29,201.490005,202.410004,198.690002,201.619995,198.803757,2535400
2020-06-01,201.539993,203.750000,199.869995,203.380005,200.539154,1530800
2020-06-02,204.089996,205.789993,202.339996,205.779999,202.905624,1939200
2020-06-03,204.419998,207.830002,204.309998,207.279999,204.384689,1605400
2020-06-04,206.089996,207.789993,202.330002,203.100006,200.263077,2451400
2020-06-05,205.990005,209.720001,204.789993,208.490005,205.577774,2537900
2020-06-08,207.509995,211.320007,207.000000,211.279999,208.328812,1626900
2020-06-09,209.389999,209.789993,205.500000,207.339996,204.443848,2269600
2020-06-10,207.259995,210.830002,205.899994,209.429993,206.504639,2077200
2020-06-11,205.520004,205.949997,195.880005,195.949997,193.212936,4046600
2020-06-12,201.100006,202.429993,197.309998,201.589996,198.774170,2590100
2020-06-15,196.490005,200.740005,194.830002,199.789993,196.999298,2310800
2020-06-16,203.360001,206.880005,202.119995,204.399994,201.544891,2154000
2020-06-17,206.029999,206.330002,203.649994,205.199997,202.333740,1594800
2020-06-18,201.729996,203.169998,199.289993,202.929993,200.095444,2228000
2020-06-19,207.539993,208.289993,201.520004,201.550003,198.734726,3710000
2020-06-22,200.800003,204.080002,199.470001,202.600006,199.770050,2454500
2020-06-23,205.369995,209.679993,205.369995,207.399994,204.503006,2203800
2020-06-24,205.509995,207.399994,200.500000,201.839996,199.020660,2753700
2020-06-25,213.000000,217.889999,211.500000,217.320007,214.284454,4690200
2020-06-26,216.779999,216.929993,211.070007,212.470001,209.502197,3348400
2020-06-29,210.149994,213.389999,210.149994,212.720001,209.748703,2247900
2020-06-30,212.369995,215.639999,212.130005,214.720001,211.720764,3136400
2020-07-01,214.500000,216.899994,213.880005,214.589996,211.592575,2124700
2020-07-02,216.570007,218.449997,214.899994,215.720001,212.706802,2006200
2020-07-06,217.759995,219.660004,216.309998,217.550003,214.511230,1934500
2020-07-07,216.320007,219.869995,216.119995,216.330002,213.308273,1783700
2020-07-08,217.470001,219.149994,216.339996,218.889999,215.832520,1750700
2020-07-09,218.470001,220.610001,216.229996,219.309998,216.246658,1756700
2020-07-10,219.000000,220.860001,217.669998,220.259995,217.183380,1373600
2020-07-13,221.330002,221.869995,215.229996,215.740005,212.726532,2090000
2020-07-14,214.800003,219.369995,213.509995,219.160004,216.098755,1747800
2020-07-15,220.000000,222.750000,218.460007,219.759995,217.484238,2193700
2020-07-16,219.779999,220.630005,218.600006,219.110001,216.840973,1408400
2020-07-17,219.690002,222.639999,218.300003,221.940002,219.641678,2069700
2020-07-20,222.000000,224.110001,220.110001,223.429993,221.116241,1371800
2020-07-21,224.899994,225.740005,222.440002,222.750000,220.443283,1546200
2020-07-22,222.750000,224.740005,222.440002,224.229996,221.907959,1488000
2020-07-23,224.080002,225.509995,221.369995,222.300003,219.997940,1444900
2020-07-24,220.210007,223.169998,220.210007,221.440002,219.146851,1542300
2020-07-27,221.500000,224.520004,220.830002,223.320007,221.007385,1523200
2020-07-28,223.039993,224.759995,221.899994,222.179993,219.879166,1422300
2020-07-29,221.979996,225.399994,221.929993,224.380005,222.056412,1473700
2020-07-30,220.809998,223.990005,219.779999,223.979996,221.660538,1408600
2020-07-31,223.889999,224.949997,220.899994,224.779999,222.452271,1495500
2020-08-03,225.000000,228.000000,224.460007,227.179993,224.827393,1631700
2020-08-04,226.289993,227.779999,225.550003,227.149994,224.797714,1260500
2020-08-05,227.940002,229.399994,227.460007,228.699997,226.331665,1155400
2020-08-06,227.679993,230.970001,227.679993,230.889999,228.498993,1317900
2020-08-07,229.250000,231.869995,228.720001,231.559998,229.162048,1275400
2020-08-10,229.690002,231.259995,229.520004,230.339996,227.954681,1315700
2020-08-11,230.580002,232.509995,228.160004,228.570007,226.203018,1757200
2020-08-12,230.300003,231.320007,229.250000,229.750000,227.370789,1512900
2020-08-13,229.589996,232.380005,228.929993,231.729996,229.330276,1745700
2020-08-14,230.570007,231.929993,229.410004,230.250000,227.865616,1130500
2020-08-17,231.449997,233.770004,230.979996,232.619995,230.211060,1395400
