Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,27.309999,27.940001,26.709999,27.549999,26.575392,8112100
2020-05-12,27.750000,28.330000,26.549999,26.549999,25.610767,5604500
2020-05-13,26.090000,26.190001,24.760000,24.959999,24.077015,6238300
2020-05-14,24.450001,25.879999,23.480000,25.760000,24.848713,6954500
2020-05-15,25.670000,26.530001,25.100000,26.469999,25.533598,8185500
2020-05-18,28.000000,28.969999,27.870001,28.450001,27.443554,8773500
2020-05-19,28.180000,28.610001,27.430000,27.629999,26.652561,5550300
2020-05-20,28.200001,28.639999,27.889999,28.040001,27.048058,5175400
2020-05-21,27.990000,29.230000,27.940001,28.809999,27.790817,5473900
2020-05-22,28.860001,28.969999,28.209999,28.889999,27.867989,3727900
2020-05-26,30.280001,31.740000,30.280001,31.010000,29.912991,8361400
2020-05-27,32.599998,32.959999,31.209999,31.510000,30.395302,8387500
2020-05-28,31.969999,32.189999,30.820000,31.120001,30.019102,5810300
2020-05-29,30.459999,31.040001,29.969999,30.059999,28.996599,8763200
2020-06-01,30.110001,30.969999,29.760000,30.549999,29.469263,4297800
2020-06-02,30.809999,31.760000,30.500000,31.490000,30.376011,6668700
2020-06-03,32.529999,33.470001,32.259998,33.250000,32.073750,6238100
2020-06-04,32.889999,35.220001,32.580002,35.209999,33.964409,8438700
2020-06-05,38.689999,38.970001,36.180000,36.360001,35.073730,10453100
2020-06-08,37.310001,39.509998,37.310001,39.439999,38.044773,10596700
2020-06-09,38.000000,38.349998,36.830002,37.740002,36.404915,7047600
2020-06-10,37.250000,37.299999,35.150002,35.160000,33.916183,8569300
2020-06-11,32.500000,33.869999,31.299999,31.610001,30.491766,9228600
2020-06-12,33.500000,33.580002,31.240000,33.040001,32.197121,7489700
2020-06-15,31.299999,33.570000,31.120001,33.189999,32.343292,6942400
2020-06-16,35.490002,35.500000,32.740002,33.290001,32.440746,7393200
2020-06-17,33.060001,33.330002,32.139999,32.279999,31.456509,5963800
2020-06-18,31.870001,33.000000,31.540001,32.470001,31.641663,4065200
2020-06-19,33.360001,33.360001,31.670000,31.809999,30.998499,7776400
2020-06-22,31.540001,32.049999,31.070000,31.790001,30.979012,3955700
2020-06-23,32.480000,32.730000,31.920000,32.049999,31.232376,3322900
2020-06-24,31.400000,31.639999,30.110001,30.299999,29.527020,5960500
2020-06-25,30.000000,31.340000,29.809999,31.260000,30.462528,5781000
2020-06-26,30.719999,30.879999,29.490000,29.709999,28.952072,8006500
2020-06-29,30.250000,30.889999,29.879999,30.680000,29.897327,5484900
2020-06-30,30.450001,31.400000,30.290001,31.180000,30.384569,4660800
2020-07-01,31.010000,31.570000,29.500000,29.580000,28.825388,6984500
2020-07-02,30.549999,31.209999,29.840000,29.920000,29.156715,7866800
2020-07-06,30.950001,31.549999,30.469999,30.740000,29.955795,6132400
2020-07-07,30.320000,30.440001,29.110001,29.170000,28.425850,7413100
2020-07-08,28.850000,29.940001,28.820000,29.850000,29.088503,7727600
2020-07-09,29.709999,29.780001,27.980000,28.000000,27.285696,7357000
2020-07-10,28.219999,30.129999,28.059999,30.100000,29.332123,7443500
2020-07-13,30.299999,30.670000,29.600000,29.719999,28.961817,6132200
2020-07-14,29.870001,30.820000,29.379999,30.790001,30.004520,5494600
2020-07-15,31.719999,32.020000,31.090000,31.770000,30.959520,6813400
2020-07-16,31.350000,33.040001,31.180000,32.560001,31.729368,6855100
