Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,492.269989,497.179993,488.640015,493.109985,481.604584,699600
2020-05-12,472.829987,473.339996,451.350006,454.440002,443.836884,3499000
2020-05-13,459.989990,491.779999,456.500000,485.799988,474.465149,9666100
2020-05-14,481.000000,500.140015,471.450012,498.200012,486.575867,11804100
2020-05-15,495.000000,515.590027,490.519989,513.729980,501.743439,5957000
2020-05-18,519.000000,528.789978,514.590027,516.429993,504.380463,5587200
2020-05-19,512.460022,515.580017,498.829987,501.200012,489.505829,2099700
2020-05-20,509.559998,513.000000,503.459991,508.739990,496.869904,1496400
2020-05-21,508.079987,509.630005,504.149994,508.510010,496.645294,1007600
2020-05-22,506.000000,513.570007,503.000000,513.299988,501.323517,632700
2020-05-26,525.000000,530.150024,521.409973,523.630005,511.412476,1064300
2020-05-27,536.250000,537.349976,525.330017,536.400024,523.884583,1182100
2020-05-28,548.479980,550.000000,535.010010,536.840027,524.314270,1132800
2020-05-29,530.690002,534.500000,520.549988,528.640015,516.305603,1159300
2020-06-01,528.000000,543.109985,526.729980,538.229980,525.671814,668000
2020-06-02,544.400024,547.770020,538.429993,541.340027,528.709351,846800
2020-06-03,550.000000,551.940002,542.809998,547.710022,534.930664,1071500
2020-06-04,541.929993,548.140015,540.000000,546.190002,537.005188,913400
2020-06-05,558.000000,562.090027,551.619995,556.530029,547.171326,1438000
2020-06-08,557.219971,561.919983,550.549988,557.330017,547.957886,1133400
2020-06-09,547.969971,562.500000,546.950012,558.059998,548.675598,851900
2020-06-10,559.450012,567.580017,555.630005,558.059998,548.675598,779700
2020-06-11,544.070007,548.669983,521.140015,525.210022,516.377991,1250800
2020-06-12,538.400024,539.130005,516.099976,527.039978,518.177246,1065600
2020-06-15,518.229980,549.590027,515.719971,543.030029,533.898376,1242900
2020-06-16,558.900024,558.900024,539.349976,550.400024,541.144409,826900
2020-06-17,554.960022,561.500000,552.799988,555.229980,545.893127,704600
2020-06-18,549.869995,558.349976,548.530029,556.770020,547.407227,531800
2020-06-19,566.979980,566.979980,546.849976,555.369995,546.030823,1875200
2020-06-22,550.770020,558.570007,548.590027,553.210022,543.907166,478600
2020-06-23,560.000000,561.989990,553.210022,554.650024,545.322998,605900
2020-06-24,548.650024,551.900024,536.239990,538.570007,529.513367,868800
2020-06-25,537.770020,550.400024,532.750000,546.969971,537.772034,713900
2020-06-26,542.109985,544.419983,528.630005,534.849976,525.855896,1167800
2020-06-29,540.000000,540.570007,530.989990,532.869995,523.909119,774400
2020-06-30,533.969971,545.979980,533.969971,544.090027,534.940491,1067100
2020-07-01,544.289978,546.479980,537.460022,544.320007,535.166626,548600
2020-07-02,555.479980,560.559998,548.619995,551.770020,542.491333,742000
2020-07-06,560.000000,564.400024,557.090027,557.549988,548.174133,703100
2020-07-07,553.369995,560.469971,549.159973,549.229980,539.994080,557300
2020-07-08,551.010010,559.940002,549.489990,557.609985,548.233154,435700
2020-07-09,554.460022,557.469971,544.260010,549.440002,540.200562,462700
2020-07-10,550.530029,555.919983,546.780029,554.080017,544.762512,489500
2020-07-13,558.200012,565.229980,552.000000,552.559998,543.268066,786400
2020-07-14,552.760010,562.510010,551.460022,561.330017,551.890625,567300
2020-07-15,572.280029,573.000000,560.239990,568.590027,559.028564,767600
2020-07-16,565.299988,569.760010,563.119995,566.960022,557.425964,729900
2020-07-17,578.349976,592.479980,572.650024,587.719971,577.836792,1150200
2020-07-20,580.219971,585.000000,577.130005,579.599976,569.853271,706700
2020-07-21,584.750000,584.750000,578.289978,580.000000,570.246582,523000
2020-07-22,580.330017,586.619995,577.979980,582.539978,572.743896,460500
2020-07-23,580.309998,585.049988,575.219971,578.150024,568.427795,453600
2020-07-24,578.000000,578.000000,567.659973,570.619995,561.024353,421600
2020-07-27,568.729980,578.280029,565.349976,575.330017,565.655212,618500
2020-07-28,572.900024,574.190002,569.000000,570.700012,561.103027,488900
2020-07-29,569.750000,580.210022,569.750000,577.599976,567.886963,724800
2020-07-30,569.309998,573.090027,564.000000,573.090027,563.452820,341200
2020-07-31,572.330017,575.320007,566.679993,575.010010,565.340515,375900
2020-08-03,579.349976,583.549988,577.309998,579.950012,570.197449,496400
2020-08-04,573.650024,575.690002,567.929993,571.039978,561.437317,513100
2020-08-05,576.710022,584.919983,573.229980,582.150024,572.360474,465800
2020-08-06,579.960022,583.349976,575.070007,582.229980,572.439148,455000
2020-08-07,582.669983,588.340027,579.419983,588.190002,578.298889,469900
2020-08-10,586.210022,587.159973,579.669983,580.200012,570.443298,465800
2020-08-11,585.299988,596.510010,583.330017,586.640015,576.774963,576800
2020-08-12,592.140015,605.719971,584.400024,590.239990,580.314392,612200
2020-08-13,586.719971,595.299988,586.719971,589.559998,579.645874,359700
2020-08-14,588.609985,592.460022,584.059998,588.460022,578.564392,316700
2020-08-17,590.929993,595.539978,587.890015,592.030029,582.074402,411100
2020-08-18,591.090027,594.760010,588.799988,589.210022,579.301819,456200
2020-08-19,592.330017,595.549988,588.799988,589.750000,579.832703,418700
2020-08-20,584.880005,588.260010,581.039978,583.359985,573.550110,552400
2020-08-21,585.409973,588.000000,581.929993,584.039978,574.218689,418400
2020-08-24,587.380005,591.690002,584.289978,591.450012,581.504089,381600
2020-08-25,594.450012,594.599976,590.119995,591.150024,581.209167,373300
2020-08-26,591.460022,595.700012,587.900024,592.099976,582.143127,540200
2020-08-27,592.940002,598.900024,591.989990,594.979980,584.974731,428900
2020-08-28,595.609985,601.309998,592.090027,601.059998,590.952515,436000
2020-08-31,602.520020,604.080017,593.669983,594.190002,584.197998,581700
2020-09-01,594.739990,601.020020,593.150024,596.239990,586.213562,402800
2020-09-02,597.739990,609.690002,594.190002,608.000000,597.775757,684200
2020-09-03,604.130005,605.450012,573.700012,579.119995,572.801270,739200
2020-09-04,581.809998,584.090027,557.859985,564.630005,558.469421,822100
2020-09-08,559.989990,560.770020,548.000000,552.539978,546.511292,837100
2020-09-09,561.619995,564.099976,555.330017,560.179993,554.067932,830500
2020-09-10,561.640015,561.960022,541.210022,543.309998,537.382019,891000
2020-09-11,544.479980,547.450012,537.859985,541.200012,535.295105,660900
2020-09-14,545.039978,553.210022,543.270020,547.380005,541.407654,631400
2020-09-15,553.109985,553.429993,547.280029,548.159973,542.179077,626400
2020-09-16,551.820007,566.880005,548.799988,561.729980,555.601013,1003900
2020-09-17,554.950012,555.799988,544.510010,548.409973,542.426392,1033500
2020-09-18,548.469971,559.159973,548.469971,556.919983,550.843506,2989100
2020-09-21,548.630005,556.760010,542.520020,552.590027,546.560852,659600
2020-09-22,551.150024,556.549988,544.530029,550.799988,544.790283,565600
2020-09-23,550.309998,552.869995,538.049988,538.539978,532.664063,511400
2020-09-24,537.280029,542.109985,531.809998,535.049988,529.212158,552800
2020-09-25,532.950012,548.900024,531.390015,547.809998,541.832886,486400
2020-09-28,554.440002,563.940002,554.000000,558.650024,552.554688,567000
2020-09-29,560.159973,562.200012,552.369995,554.799988,548.746643,409700
2020-09-30,557.200012,570.890015,555.109985,563.549988,557.401184,741100
2020-10-01,576.840027,578.239990,566.169983,567.909973,561.713562,551300
2020-10-02,560.539978,574.669983,559.179993,570.119995,563.899475,523400
2020-10-05,574.700012,581.520020,573.000000,580.979980,574.640991,435300
2020-10-06,580.979980,590.599976,578.130005,580.229980,573.899170,704300
2020-10-07,584.320007,592.789978,584.320007,592.049988,585.590210,573500
2020-10-08,595.359985,606.210022,594.340027,604.440002,597.845032,538100
2020-10-09,610.599976,614.299988,606.580017,611.570007,604.897217,525100
2020-10-12,615.369995,620.659973,613.659973,614.890015,608.181030,644700
2020-10-13,634.169983,646.289978,626.159973,638.960022,631.988403,1154900
2020-10-14,641.830017,643.460022,634.049988,639.849976,632.868652,694200
2020-10-15,634.090027,648.900024,632.640015,646.239990,639.188965,792700
2020-10-16,652.039978,659.570007,648.000000,657.380005,650.207458,765500
2020-10-19,658.250000,666.640015,633.030029,634.890015,627.962830,775700
2020-10-20,636.619995,650.979980,636.619995,645.070007,638.031738,473500
2020-10-21,646.580017,653.719971,634.820007,634.989990,628.061707,452600
2020-10-22,635.000000,637.830017,629.820007,635.179993,628.249634,483300
2020-10-23,637.869995,639.159973,633.510010,637.309998,630.356384,494200
2020-10-26,630.000000,631.590027,615.830017,622.190002,615.401367,686100
2020-10-27,620.320007,624.580017,613.469971,614.530029,607.824951,349800
2020-10-28,602.690002,606.450012,596.260010,600.710022,594.155762,645600
2020-10-29,600.210022,606.590027,590.260010,602.330017,595.758057,447400
2020-10-30,597.580017,600.869995,587.900024,599.210022,592.672119,530400
2020-11-02,608.960022,618.349976,606.450012,614.869995,608.161194,462400
2020-11-03,620.900024,633.340027,619.000000,629.260010,622.394226,560400
2020-11-04,628.289978,657.979980,627.809998,651.599976,644.490417,811700
2020-11-05,661.020020,672.000000,659.780029,668.190002,660.899475,714400
2020-11-06,666.059998,668.000000,654.190002,654.900024,647.754517,493900
2020-11-09,685.119995,692.729980,663.179993,666.020020,658.753174,870000
2020-11-10,661.070007,666.539978,645.119995,660.599976,653.392273,758000
2020-11-11,670.789978,675.750000,667.030029,670.619995,663.302979,455800
2020-11-12,665.760010,668.669983,654.869995,659.789978,652.591064,501700
2020-11-13,660.000000,671.099976,658.289978,669.770020,662.462219,664100
2020-11-16,682.500000,682.500000,669.270020,676.429993,669.049561,607600
2020-11-17,676.460022,676.460022,664.510010,667.489990,660.207092,768900
2020-11-18,670.799988,676.650024,668.950012,669.890015,662.580933,509000
2020-11-19,665.969971,675.340027,663.239990,673.479980,666.131714,471200
2020-11-20,674.020020,675.750000,669.000000,672.710022,665.370178,396200
2020-11-23,676.880005,689.000000,673.840027,682.869995,675.419250,505400
2020-11-24,694.669983,700.659973,686.500000,699.299988,691.669983,652000
2020-11-25,698.119995,704.260010,696.419983,703.609985,695.932983,401200
2020-11-27,706.750000,718.849976,705.140015,715.109985,707.307495,313400
2020-11-30,710.309998,713.190002,697.729980,698.349976,690.730408,888400
2020-12-01,709.669983,720.510010,705.200012,715.229980,707.426208,549500
2020-12-02,715.000000,718.809998,708.979980,718.359985,710.522034,484100
2020-12-03,718.359985,721.820007,711.760010,715.419983,711.208008,604400
2020-12-04,713.419983,720.289978,696.549988,703.469971,699.328308,816100
2020-12-07,702.700012,709.580017,699.030029,709.489990,705.312927,680600
2020-12-08,706.789978,718.549988,703.479980,713.919983,709.716797,598200
2020-12-09,715.840027,716.150024,696.840027,701.679993,697.548889,489400
2020-12-10,699.590027,702.739990,694.250000,698.409973,694.298096,438600
2020-12-11,692.299988,697.030029,689.450012,695.200012,691.107056,488100
2020-12-14,700.530029,700.549988,683.460022,683.919983,679.893433,658500
2020-12-15,691.520020,704.130005,690.330017,698.179993,694.069519,617300
2020-12-16,704.000000,708.799988,693.549988,698.369995,694.258362,849400
2020-12-17,703.000000,709.679993,699.289978,706.010010,701.853394,832200
2020-12-18,705.150024,706.599976,691.500000,698.799988,694.685852,1610700
2020-12-21,694.000000,703.520020,689.169983,698.830017,694.715698,631800
2020-12-22,700.000000,703.659973,691.750000,693.520020,689.436951,596900
2020-12-23,702.000000,708.169983,696.210022,703.640015,699.497375,752600
2020-12-24,703.359985,710.840027,703.359985,707.179993,703.016479,173300
2020-12-28,714.590027,715.119995,709.070007,710.179993,705.998840,272300
2020-12-29,713.739990,715.320007,705.609985,706.280029,702.121826,318400
2020-12-30,713.299988,716.940002,708.000000,708.940002,704.766174,355300
2020-12-31,707.479980,722.419983,706.919983,721.539978,717.291931,361500
2021-01-04,730.599976,730.599976,702.039978,710.820007,706.635071,623600
2021-01-05,708.809998,717.210022,705.260010,714.580017,710.372986,431400
2021-01-06,718.760010,744.789978,716.099976,734.960022,730.632996,730700
2021-01-07,748.340027,753.270020,743.010010,750.419983,746.001953,656000
2021-01-08,757.150024,759.369995,747.419983,756.450012,751.996460,622900
2021-01-11,752.820007,770.400024,750.510010,766.679993,762.166199,614400
2021-01-12,763.510010,779.309998,763.500000,777.739990,773.161072,675900
2021-01-13,778.700012,788.000000,776.609985,779.750000,775.159241,848600
2021-01-14,750.000000,765.859985,739.059998,743.500000,739.122681,1642900
2021-01-15,742.179993,754.440002,724.000000,727.760010,723.475342,1174500
2021-01-19,737.719971,744.419983,729.020020,733.650024,729.330688,852400
2021-01-20,738.710022,742.419983,729.150024,741.539978,737.174194,747600
2021-01-21,744.710022,745.770020,737.000000,742.200012,737.830322,639600
2021-01-22,739.900024,743.729980,730.820007,735.049988,730.722412,565700
2021-01-25,730.820007,735.770020,713.630005,722.979980,718.723450,806400
2021-01-26,726.989990,733.900024,720.039978,721.849976,717.600098,827900
2021-01-27,713.200012,713.989990,685.690002,697.789978,693.681763,1104400
2021-01-28,701.500000,731.020020,699.429993,719.909973,715.671570,822400
2021-01-29,715.359985,717.080017,698.619995,701.260010,697.131348,801100
2021-02-01,708.000000,713.950012,701.270020,713.169983,708.971252,483100
2021-02-02,719.369995,733.320007,719.369995,729.500000,725.205078,879300
2021-02-03,720.000000,727.440002,716.549988,724.080017,719.817017,685300
2021-02-04,724.299988,737.659973,724.299988,732.450012,728.137756,636400
2021-02-05,734.190002,737.479980,725.119995,726.330017,722.053772,474900
2021-02-08,730.679993,731.739990,720.650024,726.450012,722.173096,532900
2021-02-09,727.750000,731.309998,719.349976,728.799988,724.509216,451000
2021-02-10,732.409973,732.969971,721.000000,723.169983,718.912354,663100
2021-02-11,729.619995,729.710022,716.869995,721.429993,717.182617,803900
2021-02-12,715.349976,731.500000,712.690002,722.979980,718.723450,862800
2021-02-16,728.669983,737.719971,726.919983,730.309998,726.010315,571400
2021-02-17,725.979980,728.700012,718.469971,721.390015,717.142883,567100
2021-02-18,716.429993,717.119995,696.479980,703.530029,699.388062,1078700
2021-02-19,707.419983,716.580017,706.500000,710.109985,705.929260,804200
2021-02-22,705.380005,705.979980,697.270020,703.140015,699.000305,829900
2021-02-23,700.510010,705.669983,688.309998,703.159973,699.020142,926300
2021-02-24,704.500000,713.229980,700.390015,712.099976,707.907532,583200
2021-02-25,714.229980,714.500000,692.150024,694.789978,690.699463,591000
2021-02-26,697.789978,701.020020,689.280029,694.500000,690.411194,768500
2021-03-01,706.820007,721.969971,705.210022,719.200012,714.965759,652800
2021-03-02,719.729980,723.599976,713.609985,716.309998,712.092773,455100
2021-03-03,718.539978,721.380005,701.299988,701.489990,697.359985,703000
2021-03-04,693.400024,698.859985,676.419983,683.210022,683.210022,915000
2021-03-05,691.900024,704.030029,670.280029,702.280029,702.280029,698500
2021-03-08,699.559998,712.169983,696.840027,698.960022,698.960022,649800
2021-03-09,707.979980,725.239990,703.900024,722.000000,722.000000,959700
2021-03-10,726.690002,733.590027,724.200012,728.500000,728.500000,823300
2021-03-11,732.479980,733.690002,719.330017,722.119995,722.119995,751600
2021-03-12,719.280029,722.619995,712.500000,716.190002,716.190002,528700
2021-03-15,720.710022,720.710022,707.270020,719.010010,719.010010,526800
2021-03-16,721.940002,727.390015,715.760010,723.070007,723.070007,554700
2021-03-17,721.349976,730.400024,719.909973,728.219971,728.219971,457600
2021-03-18,728.989990,739.950012,722.460022,723.729980,723.729980,640100
2021-03-19,720.260010,740.650024,713.510010,729.640015,729.640015,1437100
2021-03-22,729.640015,736.190002,725.570007,730.919983,730.919983,524700
2021-03-23,729.780029,729.780029,714.169983,716.570007,716.570007,556700
2021-03-24,721.099976,731.200012,721.099976,722.750000,722.750000,544700
2021-03-25,723.549988,728.679993,712.270020,727.500000,727.500000,462800
2021-03-26,731.320007,758.219971,731.320007,756.900024,756.900024,802700
2021-03-29,746.580017,761.849976,744.929993,757.859985,757.859985,581700
2021-03-30,755.059998,763.419983,746.960022,749.260010,749.260010,598800
