Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,42.230000,43.279999,42.080002,42.270000,40.958698,7076800
2020-05-12,42.619999,43.150002,41.529999,41.580002,40.290108,7375900
2020-05-13,41.020000,41.180000,39.540001,39.889999,38.652531,7666400
2020-05-14,38.930000,40.459999,37.779999,39.930000,38.691292,6718700
2020-05-15,39.869999,41.549999,39.720001,40.869999,39.602127,7242300
2020-05-18,43.450001,44.610001,43.169998,43.599998,42.247437,9047300
2020-05-19,43.700001,43.880001,42.610001,42.669998,41.346291,6126300
2020-05-20,43.590000,44.799999,43.299999,44.150002,42.780376,7203000
2020-05-21,44.389999,44.869999,43.619999,43.720001,42.363720,6646000
2020-05-22,42.910000,43.360001,42.299999,43.279999,41.937363,4674000
2020-05-26,44.810001,45.119999,43.500000,43.669998,42.315266,7702600
2020-05-27,44.340000,44.680000,42.959999,44.669998,43.284241,5768100
2020-05-28,44.720001,44.720001,42.779999,43.009998,41.675739,5871500
2020-05-29,42.610001,42.779999,41.669998,42.180000,40.871490,10172200
2020-06-01,42.259998,43.700001,41.639999,43.389999,42.043953,6344300
2020-06-02,44.020000,44.689999,43.700001,44.200001,42.828827,5858300
2020-06-03,45.110001,45.230000,44.020000,45.119999,43.720287,8024200
2020-06-04,44.680000,45.130001,44.180000,44.709999,43.323006,5577000
2020-06-05,47.389999,48.779999,47.029999,48.590000,47.082638,11578800
2020-06-08,50.209999,50.790001,48.810001,50.310001,48.749283,10242200
2020-06-09,48.250000,49.189999,47.880001,48.630001,47.121399,8203600
2020-06-10,48.040001,48.290001,45.869999,45.910000,44.485783,7882300
2020-06-11,42.080002,44.250000,41.799999,42.119999,40.813351,8435200
2020-06-12,45.310001,45.410000,42.110001,43.730000,42.373405,8928400
2020-06-15,41.070000,43.910000,40.849998,43.349998,42.005192,7992100
2020-06-16,45.299999,45.680000,43.599998,45.110001,43.710598,6932400
2020-06-17,44.990002,45.099998,43.910000,44.020000,42.654411,5967200
2020-06-18,43.529999,44.840000,43.180000,44.450001,43.071075,7293700
2020-06-19,45.900002,45.900002,43.380001,43.700001,42.344337,13702800
2020-06-22,43.240002,43.980000,42.660000,43.560001,42.208683,5009100
2020-06-23,44.119999,44.529999,43.590000,43.810001,42.450928,4962200
2020-06-24,43.000000,43.169998,40.930000,40.990002,39.718407,7137200
2020-06-25,40.660000,42.119999,40.509998,42.060001,40.755215,5981000
2020-06-26,41.570000,41.619999,40.160000,40.349998,39.098259,8399400
2020-06-29,40.400002,41.349998,39.919998,41.299999,40.018787,5764800
2020-06-30,40.869999,42.340000,40.279999,42.020000,40.716450,6313900
2020-07-01,42.349998,42.830002,40.680000,40.740002,39.476166,5600000
2020-07-02,41.820000,42.509998,41.580002,41.779999,40.483898,4775000
2020-07-06,42.630001,42.869999,41.360001,41.630001,40.338551,5825100
2020-07-07,41.150002,41.630001,40.570000,40.639999,39.379265,5995100
2020-07-08,40.580002,41.570000,40.299999,41.040001,39.766857,4896800
2020-07-09,40.660000,40.889999,38.290001,38.349998,37.160305,9189500
2020-07-10,38.360001,39.820000,38.220001,39.689999,38.458736,9218300
2020-07-13,40.130001,40.509998,39.000000,39.660000,38.429665,5887000
2020-07-14,39.439999,41.340000,39.270000,41.310001,40.028481,4953500
2020-07-15,42.189999,42.419998,41.049999,41.619999,40.328865,5777100
2020-07-16,41.290001,42.060001,40.660000,41.590000,40.299797,4655700
2020-07-17,41.349998,41.669998,39.779999,39.959999,39.115368,6699300
2020-07-20,39.959999,40.340000,39.240002,39.330002,38.498688,6407600
2020-07-21,40.099998,42.080002,40.000000,41.660000,40.779438,7950900
2020-07-22,41.070000,41.250000,40.320000,40.889999,40.025711,5158400
2020-07-23,40.529999,41.130001,40.230000,40.459999,39.604801,5953500
2020-07-24,40.740002,41.360001,40.160000,40.279999,39.428604,5202600
2020-07-27,39.919998,40.480000,39.439999,39.770000,38.929386,5312400
2020-07-28,39.570000,39.959999,38.799999,38.959999,38.136505,6188300
2020-07-29,38.970001,39.939999,38.599998,39.939999,39.095791,6305200
2020-07-30,38.119999,38.470001,35.900002,37.639999,36.844406,13421000
2020-07-31,37.049999,37.599998,36.709999,37.389999,36.599689,7719900
2020-08-03,37.270000,37.389999,36.689999,36.709999,35.934063,8064700
2020-08-04,36.660000,38.070000,36.470001,37.639999,36.844406,5808100
2020-08-05,38.500000,38.689999,37.709999,38.020000,37.216373,7315000
2020-08-06,37.639999,38.430000,37.610001,38.049999,37.245739,6588700
2020-08-07,37.869999,38.389999,37.349998,38.299999,37.490456,4445300
2020-08-10,38.509998,39.669998,38.450001,39.639999,38.802132,5612600
2020-08-11,40.570000,41.150002,39.580002,39.709999,38.870651,7975900
2020-08-12,40.369999,41.680000,40.250000,41.660000,40.779438,11822500
2020-08-13,41.150002,41.830002,40.619999,40.630001,39.771210,8286400
2020-08-14,40.220001,41.000000,39.959999,40.820000,39.957191,3349800
2020-08-17,40.750000,40.980000,39.910000,40.700001,39.839729,6089300
2020-08-18,40.619999,41.330002,40.130001,40.330002,39.477551,5711500
2020-08-19,40.110001,40.320000,39.520000,39.650002,38.811924,4526200
2020-08-20,39.060001,39.310001,38.730000,38.770000,37.950523,3943200
2020-08-21,38.639999,38.810001,37.950001,38.160000,37.353416,5034200
2020-08-24,38.340000,39.560001,38.090000,38.869999,38.048409,5357400
2020-08-25,39.410000,39.450001,38.450001,38.849998,38.028828,4160600
2020-08-26,38.830002,38.959999,37.520000,37.560001,36.766098,6753300
2020-08-27,37.770000,38.279999,37.500000,38.150002,37.343628,6231600
2020-08-28,38.330002,38.459999,37.880001,38.380001,37.568768,5058100
2020-08-31,38.349998,38.450001,37.570000,37.889999,37.089119,6165700
2020-09-01,37.419998,37.599998,36.619999,37.160000,36.374554,6267700
2020-09-02,37.000000,37.169998,36.380001,36.380001,35.611042,7441600
2020-09-03,36.029999,36.869999,35.840000,35.990002,35.229282,8733400
2020-09-04,36.360001,36.689999,35.669998,35.860001,35.102032,8285300
2020-09-08,35.299999,35.299999,33.740002,34.060001,33.340080,9338600
2020-09-09,34.849998,34.849998,34.220001,34.459999,33.731621,6440000
2020-09-10,34.430000,34.520000,32.860001,32.919998,32.224171,8582800
2020-09-11,32.880001,33.439999,32.639999,33.110001,32.410156,6769100
2020-09-14,33.240002,33.869999,33.009998,33.520000,32.811489,5436000
2020-09-15,33.730000,34.220001,33.610001,33.799999,33.085571,8333400
2020-09-16,34.119999,35.529999,33.650002,35.080002,34.338520,9240700
2020-09-17,34.400002,36.110001,34.160000,36.090000,35.327168,13147700
2020-09-18,35.799999,36.450001,35.400002,35.869999,35.111820,12409800
2020-09-21,34.810001,35.080002,34.090000,34.360001,33.633739,11316000
2020-09-22,34.340000,34.810001,34.009998,34.299999,33.575005,7963000
2020-09-23,34.360001,34.590000,32.880001,32.919998,32.224171,7714500
2020-09-24,32.810001,34.259998,32.459999,33.599998,32.889801,7084000
2020-09-25,33.090000,33.990002,32.980000,33.700001,32.987686,5240900
2020-09-28,34.340000,34.740002,33.619999,33.709999,32.997471,8958400
2020-09-29,33.720001,33.779999,32.169998,32.459999,31.773895,6662600
2020-09-30,32.730000,33.290001,32.549999,32.840000,32.145866,8111700
2020-10-01,32.230000,32.740002,31.690001,32.430000,31.744530,7929600
2020-10-02,31.580000,33.290001,31.450001,33.070000,32.371002,7069100
2020-10-05,33.560001,34.310001,33.230000,34.279999,33.555424,5652500
2020-10-06,34.880001,35.080002,33.119999,33.299999,32.596142,6645600
2020-10-07,33.470001,34.529999,33.320000,34.330002,33.604370,6633200
2020-10-08,34.500000,35.619999,34.299999,35.529999,34.779003,6758800
2020-10-09,35.939999,35.970001,34.840000,35.130001,34.387463,6382000
2020-10-12,35.070000,35.840000,34.730000,35.590000,34.837738,7214600
2020-10-13,35.529999,36.000000,34.700001,34.880001,34.142746,8121000
2020-10-14,34.040001,35.529999,34.040001,34.529999,33.800140,9817400
2020-10-15,33.869999,35.470001,33.669998,35.400002,34.651756,8633700
2020-10-16,34.810001,34.970001,33.750000,33.770000,33.462673,8312900
2020-10-19,34.119999,34.200001,32.680000,32.700001,32.402412,21684100
2020-10-20,32.910000,33.049999,32.070000,32.580002,32.283504,19243000
2020-10-21,32.169998,32.410000,30.580000,30.639999,30.361158,19210200
2020-10-22,30.620001,31.969999,30.469999,31.910000,31.619600,15029400
2020-10-23,32.270000,33.189999,31.920000,32.540001,32.243870,15335200
2020-10-26,31.760000,31.930000,30.080000,30.320000,30.044071,11522800
2020-10-27,30.160000,30.690001,29.959999,30.260000,29.984617,13017800
2020-10-28,29.360001,29.809999,28.549999,28.790001,28.527996,15274500
2020-10-29,28.120001,29.190001,27.530001,29.160000,28.894629,15560100
2020-10-30,28.930000,28.969999,27.629999,28.620001,28.359543,15681700
2020-11-02,29.420000,30.549999,28.510000,30.230000,29.954889,13762900
2020-11-03,30.719999,30.740000,29.139999,29.309999,29.043262,12131300
2020-11-04,29.590000,30.620001,29.209999,30.379999,30.103525,15178400
2020-11-05,30.100000,30.910000,30.040001,30.120001,29.845892,10316600
2020-11-06,30.129999,30.650000,28.780001,29.190001,28.924355,10484500
2020-11-09,33.160000,34.830002,32.869999,33.380001,33.076225,17614500
2020-11-10,34.349998,35.540001,33.590000,35.529999,35.206657,20650600
2020-11-11,35.959999,36.200001,35.060001,35.279999,34.958931,17225000
2020-11-12,34.599998,35.209999,33.599998,34.009998,33.700489,10944500
2020-11-13,34.349998,35.560001,34.250000,35.360001,35.038204,11997500
2020-11-16,36.950001,38.130001,36.400002,38.080002,37.733452,18701200
2020-11-17,37.520000,39.130001,37.240002,38.849998,38.496441,14466800
2020-11-18,38.959999,40.869999,38.650002,39.180000,38.823441,23319600
2020-11-19,38.709999,39.610001,38.380001,39.470001,39.110802,12504100
2020-11-20,39.310001,39.930000,39.139999,39.650002,39.289165,12037800
2020-11-23,40.360001,42.840000,40.270000,42.709999,42.321316,14643900
2020-11-24,44.080002,45.360001,43.779999,44.410000,44.005844,15439200
2020-11-25,44.000000,44.439999,43.360001,43.630001,43.232944,15644800
2020-11-27,43.400002,43.910000,42.400002,42.779999,42.390678,4694000
2020-11-30,41.930000,42.040001,39.540001,39.560001,39.199982,20248600
2020-12-01,40.900002,40.950001,39.220001,39.270000,38.912621,12424900
2020-12-02,39.180000,40.970001,38.830002,39.970001,39.606251,12460200
2020-12-03,40.049999,42.150002,39.630001,41.200001,40.825058,16215400
2020-12-04,42.290001,44.349998,42.110001,44.270000,43.867119,12730500
2020-12-07,43.349998,43.439999,42.520000,42.820000,42.430313,10586100
2020-12-08,42.000000,43.439999,41.700001,42.680000,42.291588,10575500
2020-12-09,43.279999,43.500000,41.720001,42.700001,42.311405,10773100
2020-12-10,42.610001,44.220001,42.450001,44.000000,43.599575,14997800
2020-12-11,43.509998,43.820000,43.169998,43.480000,43.084309,14242300
2020-12-14,44.080002,44.250000,42.259998,42.320000,41.934864,17094500
2020-12-15,42.660000,42.980000,41.709999,42.799999,42.410496,9853600
2020-12-16,42.849998,42.939999,42.130001,42.320000,41.934864,9311000
2020-12-17,42.770000,42.770000,41.619999,41.970001,41.588051,9294200
2020-12-18,41.990002,42.200001,40.730000,40.980000,40.607059,20819300
2020-12-21,39.410000,40.919998,38.930000,40.240002,39.873795,10998100
2020-12-22,40.200001,40.279999,38.880001,39.029999,38.674805,9189600
2020-12-23,39.410000,40.709999,39.330002,40.080002,39.715252,6137600
2020-12-24,40.009998,40.009998,38.959999,39.490002,39.130619,3530300
2020-12-28,39.560001,40.470001,39.099998,39.299999,38.942348,6178200
2020-12-29,39.360001,39.939999,38.770000,39.070000,38.714439,7003100
2020-12-30,38.990002,40.040001,38.810001,40.009998,39.645885,6268900
2020-12-31,39.910000,40.290001,39.610001,39.990002,39.626072,7612500
2021-01-04,40.500000,40.650002,39.180000,39.570000,39.209892,8597600
2021-01-05,40.240002,42.869999,40.000000,41.840000,41.459232,12393600
2021-01-06,42.529999,43.950001,41.919998,43.509998,43.114033,11035300
2021-01-07,44.049999,44.990002,43.599998,44.700001,44.293205,9648200
2021-01-08,45.000000,45.480000,44.189999,44.700001,44.293205,9448700
2021-01-11,44.099998,45.709999,43.310001,45.360001,44.947201,10839600
2021-01-12,46.020000,47.669998,45.720001,47.419998,46.988449,13013700
2021-01-13,47.349998,47.470001,46.599998,47.029999,46.602001,11839900
2021-01-14,47.419998,48.290001,46.770000,47.869999,47.434357,12857900
2021-01-15,47.279999,47.279999,44.529999,45.119999,44.709381,30004600
2021-01-19,45.150002,46.150002,44.860001,46.000000,45.581375,14498800
2021-01-20,46.369999,46.490002,45.299999,45.360001,44.947201,21178000
