Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,134.020004,136.899994,133.039993,133.809998,130.023880,3247400
2020-05-12,134.110001,134.830002,131.729996,132.039993,128.303955,4013200
2020-05-13,131.539993,132.039993,129.949997,131.500000,127.779251,3236800
2020-05-14,130.000000,134.309998,129.110001,132.910004,129.149338,2547600
2020-05-15,131.320007,134.029999,130.199997,130.919998,127.215652,2975600
2020-05-18,136.229996,140.449997,134.990005,139.479996,135.533463,1719600
2020-05-19,140.119995,140.529999,136.059998,136.190002,132.336563,1415700
2020-05-20,137.850006,138.419998,136.550003,136.990005,133.113922,1336300
2020-05-21,137.199997,139.100006,136.399994,138.669998,134.746384,1271400
2020-05-22,139.300003,139.300003,136.600006,138.570007,134.649216,884100
2020-05-26,143.080002,146.050003,142.559998,144.649994,140.557159,1619500
2020-05-27,149.229996,150.570007,147.509995,150.449997,146.193069,1901200
2020-05-28,152.169998,152.449997,148.029999,148.490005,144.288528,1429400
2020-05-29,147.240005,147.830002,143.800003,146.830002,142.675491,1611000
2020-06-01,146.750000,148.800003,146.479996,147.270004,143.103043,957000
2020-06-02,148.330002,149.970001,147.369995,149.320007,145.095047,1225600
2020-06-03,151.389999,155.720001,151.059998,155.229996,150.837814,1284100
2020-06-04,155.220001,157.440002,153.869995,157.089996,152.645187,1387700
2020-06-05,164.369995,165.139999,160.919998,162.220001,157.630035,1969800
2020-06-08,164.149994,168.330002,164.020004,167.779999,163.032715,1770800
2020-06-09,165.000000,165.750000,162.000000,163.479996,158.854385,1389400
2020-06-10,162.809998,162.809998,157.970001,158.050003,153.578018,1187000
2020-06-11,151.669998,153.660004,148.110001,148.550003,144.346832,1864500
2020-06-12,153.330002,153.679993,147.399994,149.199997,144.978439,1859500
2020-06-15,145.110001,154.479996,144.520004,153.089996,148.758362,1338700
2020-06-16,158.690002,159.479996,154.149994,155.990005,151.576309,1694800
2020-06-17,156.570007,158.850006,156.250000,157.050003,152.606323,1273600
2020-06-18,156.000000,160.559998,155.369995,159.059998,154.559433,1589000
2020-06-19,161.789993,161.789993,156.520004,157.619995,153.160187,3180200
2020-06-22,155.729996,156.630005,153.199997,153.800003,149.448288,1632800
2020-06-23,154.100006,155.330002,152.490005,152.750000,148.428009,1057400
2020-06-24,151.000000,151.000000,145.899994,146.449997,142.306229,1811000
2020-06-25,145.000000,147.089996,143.679993,146.960007,142.801804,1589500
2020-06-26,146.479996,147.320007,144.520004,146.050003,141.917572,2073100
2020-06-29,148.220001,149.389999,147.059998,149.339996,145.114471,1032600
2020-06-30,148.130005,150.210007,147.699997,149.460007,145.231094,1330300
2020-07-01,149.000000,150.610001,146.910004,147.139999,144.036789,873300
2020-07-02,149.639999,150.860001,147.059998,147.300003,144.193436,761200
2020-07-06,149.509995,149.660004,147.020004,148.470001,145.338745,931300
2020-07-07,148.000000,149.199997,145.009995,145.179993,142.118134,1511700
2020-07-08,145.520004,145.809998,143.059998,143.899994,140.865143,1176300
2020-07-09,142.979996,143.889999,137.820007,138.020004,135.109161,1301400
2020-07-10,138.199997,142.059998,138.199997,141.970001,138.975830,948900
2020-07-13,142.919998,144.429993,141.350006,142.820007,139.807938,1293500
2020-07-14,142.250000,143.929993,141.110001,143.360001,140.336533,960100
2020-07-15,146.850006,146.850006,145.210007,145.789993,142.715271,1999900
2020-07-16,145.520004,149.589996,144.559998,148.509995,145.377899,1648400
2020-07-17,149.399994,149.639999,148.029999,148.910004,145.769470,827100
2020-07-20,147.850006,148.470001,145.350006,145.449997,142.382446,1010400
2020-07-21,146.660004,149.759995,146.300003,147.809998,144.692673,881000
2020-07-22,146.919998,151.580002,146.619995,151.529999,148.334229,1253500
2020-07-23,152.199997,152.919998,150.110001,151.009995,147.825180,963200
2020-07-24,151.619995,153.259995,149.520004,150.149994,146.983322,787700
2020-07-27,149.470001,149.509995,147.509995,147.979996,144.859085,695000
2020-07-28,147.500000,150.649994,147.100006,148.570007,145.436661,1000700
2020-07-29,147.229996,149.649994,144.580002,149.440002,146.288300,1918500
2020-07-30,147.020004,149.690002,146.800003,148.860001,145.720535,1408800
2020-07-31,148.229996,148.229996,144.759995,146.740005,143.645248,1659600
2020-08-03,145.660004,148.369995,144.320007,147.720001,144.604568,1387600
2020-08-04,148.119995,149.039993,146.750000,147.240005,144.134705,2103900
2020-08-05,148.699997,149.889999,148.080002,149.190002,146.043579,1148300
2020-08-06,148.990005,149.649994,148.330002,149.139999,145.994629,867200
2020-08-07,149.110001,152.979996,148.509995,152.970001,149.743851,1851900
2020-08-10,153.520004,156.770004,153.429993,156.559998,153.258133,1144600
2020-08-11,159.479996,160.839996,157.949997,158.850006,155.499847,1793200
2020-08-12,160.369995,160.679993,154.690002,156.410004,153.111313,1312000
2020-08-13,154.320007,156.500000,153.740005,154.949997,151.682098,1053800
2020-08-14,154.110001,157.660004,153.649994,156.460007,153.160248,719100
2020-08-17,156.520004,156.789993,153.350006,153.720001,150.478043,1089900
2020-08-18,153.279999,154.100006,152.720001,153.029999,149.802567,617500
2020-08-19,152.960007,154.559998,152.089996,152.490005,149.273972,701900
2020-08-20,151.250000,151.949997,150.490005,150.940002,147.756668,801500
2020-08-21,150.000000,151.350006,149.029999,149.809998,146.650482,1518900
2020-08-24,150.490005,153.389999,149.750000,153.300003,150.066895,1002300
2020-08-25,154.300003,154.729996,150.869995,151.470001,148.275482,741200
2020-08-26,150.919998,151.490005,149.419998,150.470001,147.296585,806200
2020-08-27,150.610001,153.529999,150.399994,152.440002,149.225037,1147600
2020-08-28,152.839996,152.990005,150.729996,152.270004,149.058609,670600
2020-08-31,152.070007,152.399994,148.949997,149.350006,146.200195,1176600
2020-09-01,147.800003,150.320007,147.360001,150.190002,147.022491,954300
2020-09-02,150.059998,154.500000,149.919998,153.919998,150.673813,1259100
2020-09-03,155.000000,156.559998,150.610001,151.940002,148.735580,1338400
2020-09-04,153.500000,154.380005,149.789993,151.699997,148.500641,1121700
2020-09-08,149.779999,150.550003,146.600006,146.960007,143.860596,1587900
2020-09-09,147.279999,147.789993,145.149994,146.169998,143.087280,1289700
2020-09-10,146.600006,147.750000,142.410004,142.580002,139.572983,1396000
2020-09-11,144.100006,146.199997,142.619995,145.360001,142.294357,1131500
2020-09-14,146.460007,148.520004,145.750000,147.470001,144.359833,763800
2020-09-15,147.320007,148.110001,144.979996,145.139999,142.078979,830900
2020-09-16,145.250000,148.550003,144.300003,146.779999,143.684387,1069000
2020-09-17,140.649994,144.910004,139.509995,144.589996,141.540588,1532800
2020-09-18,143.009995,145.630005,142.729996,142.990005,139.974335,1836500
2020-09-21,141.350006,141.490005,137.429993,138.330002,135.412613,1373600
2020-09-22,138.360001,140.250000,137.350006,139.449997,136.508972,935500
2020-09-23,140.070007,141.820007,136.190002,136.509995,133.630981,1033400
2020-09-24,136.119995,138.449997,135.160004,136.899994,134.012756,929400
2020-09-25,135.839996,138.770004,135.559998,138.210007,135.295151,883000
2020-09-28,139.699997,142.399994,139.699997,140.919998,137.947983,721500
2020-09-29,140.429993,140.580002,137.889999,138.550003,135.627975,1066600
2020-09-30,139.160004,140.139999,137.070007,138.429993,135.510483,1208700
2020-10-01,138.889999,140.080002,136.800003,138.220001,135.304916,887400
2020-10-02,133.720001,140.940002,133.600006,140.490005,137.527069,1325300
2020-10-05,141.979996,143.350006,141.110001,142.729996,139.719803,936200
2020-10-06,144.080002,146.970001,142.029999,142.309998,139.308670,1347500
2020-10-07,143.669998,145.649994,143.529999,144.869995,141.814682,1204100
