tickers,average_return,max_return,min_return,return_variance
AAPL,0.5145,39.7392,-50.6587,37.4587
ABBV,0.3604,18.2956,-19.3862,16.0719
ABT,0.3025,20.2551,-18.9815,11.3243
ACN,0.3229,22.1402,-19.4286,14.9958
ADBE,0.6338,32.2368,-43.4211,40.1310
AIG,0.2364,152.0000,-68.2867,44.3352
AMGN,0.4530,33.1250,-30.4347,27.6504
AMT,0.4112,136.6667,-42.4000,55.5225
AMZN,0.8912,75.2688,-31.9672,63.6387
AVGO,0.6196,20.0135,-18.2574,20.4333
AXP,0.2545,28.8315,-25.9827,21.8518
BA,0.2823,70.5084,-44.1774,23.6482
BAC,0.2459,83.4395,-44.7267,29.6544
BIIB,0.5582,56.2500,-44.2182,56.4111
BK,0.2238,29.6986,-21.8144,17.2764
BKNG,0.5252,84.5170,-53.8000,81.9499
BLK,0.4455,24.7782,-21.6649,20.0729
BMY,0.1943,23.3202,-21.2336,12.6901
C,0.2460,87.0026,-60.3992,33.2669
CAT,0.2381,30.8974,-25.6757,17.2185
CHTR,0.5620,18.2943,-18.1620,14.2210
CL,0.2033,35.2517,-22.0957,12.1142
CMCSA,0.3985,24.7192,-21.8086,23.3959
COF,0.4755,80.7382,-38.2070,44.4573
COP,0.1840,24.8677,-30.7743,18.4233
COST,0.2700,24.1135,-31.3889,17.5539
CRM,0.6135,31.3869,-21.6743,32.4797
CSCO,0.5314,32.1831,-26.1905,27.9070
CVS,0.2460,21.1540,-27.2500,16.9329
CVX,0.1657,17.7734,-28.8060,12.0579
DD,0.1843,27.9573,-21.0361,17.9404
DHR,0.4446,33.3331,-25.8063,21.3638
DIS,0.3145,20.3487,-25.8814,17.9971
DOW,0.4907,30.7115,-34.0775,44.8956
DUK,0.1711,18.7977,-20.2518,8.3086
EMR,0.1788,29.8851,-22.6496,12.3182
EXC,0.1121,19.5420,-21.2826,10.3004
F,0.1997,50.3497,-50.8642,25.1856
FB,0.5909,31.4142,-17.5591,24.2934
FDX,0.3720,21.5213,-25.5856,22.2065
GD,0.2818,24.1379,-18.3687,19.8015
GE,0.1573,36.2606,-21.0792,13.8282
GILD,0.4884,39.3259,-29.4650,40.7345
GM,0.2018,33.3703,-26.5884,22.6737
GOOG,0.5498,26.9368,-15.3506,17.3802
GOOGL,0.5447,25.8060,-15.3506,17.2417
GS,0.2848,43.5003,-30.6250,25.9332
HD,0.5823,32.9288,-33.6787,25.9427
HON,0.2346,32.8520,-30.6294,16.7754
IBM,0.1413,19.3659,-17.6353,11.2502
